item_id,subject,category,idx_in_subject,question,choice_A,choice_B,choice_C,choice_D,answer
high_school_macroeconomics_0009,high_school_macroeconomics,Social Sciences,9,"Lorsqu’une nation fonctionne au taux de chômage naturel,",il n’y a pas de chômage cyclique.,le taux d’inflation est zéro.,il n’y a pas de chômage structurel.,la nation vit une récession.,A
high_school_macroeconomics_0033,high_school_macroeconomics,Social Sciences,33,Selon la loi de Say,"lorsque les prix augmentent, l’offre augmente",c’est mieux de donner que de recevoir,la demande crée sa propre offre,l’offre crée sa propre demande,D
high_school_macroeconomics_0042,high_school_macroeconomics,Social Sciences,42,Le revenue national mesure,le revenu des ménages dans la nation.,le revenu gagné par les facteurs de production.,le PIB moins la dépréciation et les impôts indirects des entreprises.,(B) (C) et (D).,D
high_school_macroeconomics_0055,high_school_macroeconomics,Social Sciences,55,Dans l’équation PIB = C + I + G + X X représente,les exportations.,les dépenses.,les exportations moins les importations.,les importations moins les exportations.,C
high_school_macroeconomics_0113,high_school_macroeconomics,Social Sciences,113,Utiliser l’une des trois réponses suivantes pour répondre à la question : Une politique fiscale n’est pas toujours efficace à cause de I. effet d’éviction. II. les attentes rationnelles. III. l’amendement sur l’équilibre budgétaire.,I seulement,II seulement,II et III,I et II,D
high_school_macroeconomics_0153,high_school_macroeconomics,Social Sciences,153,Lequel serait considéré comme une politique budgétaire contractionniste ?,L’achat de titres,La vente de titres,Une augmentation des impôts,Une augmentation des dépenses gouvernementales,B
high_school_macroeconomics_0245,high_school_macroeconomics,Social Sciences,245,"Lorsque nous observons une baisse non planifiée des inventaires, nous pouvons nous attendre à",des prix qui commencent à chuter.,une production qui commence à augmenter.,une épargne qui commence à chuter.,une production qui commence à chuter.,B
high_school_macroeconomics_0265,high_school_macroeconomics,Social Sciences,265,La politique fiscale se réfère aux,augmentations d’impôts pour combattre les récessions.,réductions d’impôts pour combattre les inflations.,changements dans les dépenses publiques et les impôts pour combattre les récessions ou les inflations.,déficits fédéraux.,C
high_school_macroeconomics_0268,high_school_macroeconomics,Social Sciences,268,Un déficit du solde de paiements signifie qu’un pays a,importé plus qu’il n’a exporté.,exporté plus qu’il n’a importé.,absorbé plus d’argent qu’il n’en a envoyé à l’étranger.,réduit sa position de réserve officielle.,D
high_school_macroeconomics_0272,high_school_macroeconomics,Social Sciences,272,"Supposons que le niveau de prix aux États-Unis a augmenté au cours de l’année passée, mais la production des biens et des services est restée constante.Selon ces informations, parmi les énoncés suivants, lequel est vrai ? PIB NOMINAL     PIB RÉEL",Augmenté     Augmenté,Pas de changement     Diminué,Diminué     Diminué,Augmenté     Diminué,D
high_school_macroeconomics_0311,high_school_macroeconomics,Social Sciences,311,Le déflateur du PIB I. est utilisé pour calculer les taux d’inflation. II. est une alternative à l’IPC. III. est plus précis que l’IPC.,Seul I est vrai.,I et II sont vrais.,I et III sont vrais.,II et III sont vrais.,B
high_school_macroeconomics_0377,high_school_macroeconomics,Social Sciences,377,"Dans l’équation de change,",M représente l’offre de masse et Q représente la qualité.,V représente la vitesse de circulation du PIB et Q représente la qualité.,P représente le niveau de prix et Q représente le trimestre.,P représente le niveau de prix et V représente la vitesse de circulation de l’argent.,D
high_school_mathematics_0030,high_school_mathematics,STEM,30,Quel est le chiffre des unités de $1 \cdot 2 \cdot 3 \cdot 4 \cdot 5 \cdot 6 \cdot 7 \cdot 8 \cdot 9$ ?,1.0,2.0,0,5.0,C
high_school_mathematics_0045,high_school_mathematics,STEM,45,Une boîte contient 4 balles blanches et 4 balles noires. Je les retire de la boîte une par une. Quelle est la probabilité que je tombe à chaque fois sur une couleur différente ?,\frac{1}{8},\frac{1}{7},\frac{1}{40},\frac{1}{35},D
high_school_mathematics_0079,high_school_mathematics,STEM,79,"Un virus se propage dans la population d’une ville et le nombre de personnes ayant le virus double tous les trois jours. Si la ville comporte 1 000 personnes et que 10 personnes ont le virus le 1er janvier, quelle sera la date la plus proche à laquelle l’intégralité de la ville pourrait être infectée par le virus, compte tenu que l’année comporte 365 jours et 31 jours au mois de janvier ?",10 janvier,21 janvier,31 janvier,10 février,B
high_school_mathematics_0116,high_school_mathematics,STEM,116,Évaluez la somme\[\frac{1}{2^1} + \frac{2}{2^2} + \frac{3}{2^3} + \cdots + \frac{k}{2^k} + \cdots \],\infty,1.0,2.0,4.0,C
high_school_mathematics_0127,high_school_mathematics,STEM,127,Trouvez la longueur de la courbe y = Dans x entre les points où y = 12 et y = 1.,"0,53","0,86","1,18","1,36",C
high_school_mathematics_0137,high_school_mathematics,STEM,137,La forme du panneau à l’extérieur de Bob’s Burger Barn est un octogone régulier. Combien de degrés existent-ils dans la mesure d’un angle intérieur de ce panneau ?,90.0,135.0,45.0,180.0,B
high_school_mathematics_0158,high_school_mathematics,STEM,158,"Morgan est sur un site de réseaux sociaux. Elle a 60 amies femmes et 50 amis hommes et appartiennent à 5 groupes sociaux. Si 30 % de ses amis femmes habitent en ville et 40 % de ses amis hommes vivent en ville, combien d’amis a-t-elle qui habitent hors de la ville sur ce site de réseaux sociaux ?",38.0,72.0,110.0,360.0,B
high_school_mathematics_0183,high_school_mathematics,STEM,183,Le quadratique $2x^2+5x+12=19-7x$ a deux solutions. Quelle est la différence positive entre ces solutions ?,2.0,\sqrt{2},5\sqrt{2},5.0,C
high_school_mathematics_0196,high_school_mathematics,STEM,196,"Si $p$, $q$, et $r$ sont constants. Une solution pour l’équation $(x-p)(x-q) = (r-p)(r-q)$ is $x=r$. Trouvez l’autre solution en termes de $p$, $q$ et $r$.",pqr,pq-r,p-q-r,p+q-r,D
high_school_mathematics_0209,high_school_mathematics,STEM,209,"Le terme $n^{\text{th}}$ d’une certaine suite géométrique est donnée par $a\cdot r^{n-1}$, où $a$ et $r$ sont des nombres entiers positifs et $r$ est supérieur à 1. Bill choisit $k$ nombres différents dans cette séquence, ils ont tous le même nombre de chiffres. Quelle est la plus grande valeur possible de $k$ ?",4.0,5.0,8.0,16.0,A
high_school_mathematics_0227,high_school_mathematics,STEM,227,"Trouvez le volume du solide obtenu lorsque la région limitée par l’axe des y = e^x, and y = 2 pivote autour de l’axe des y.","0,296","0,592","2,427","3,998",B
high_school_mathematics_0247,high_school_mathematics,STEM,247,"Un objet se déplaçant le long d’une ligne a une vélocité de v(t) = t cos(t) - ln (t + 2), où 0 <= t <= 10. Combien de fois l’objet emprunte-t-il la direction inverse ?",Aucune,Une fois,Deux fois,Trois fois,C
high_school_mathematics_0268,high_school_mathematics,STEM,268,"Bob lance un dé standard à six faces chaque matin. Si Bob lance un nombre composé, il mange des céréales sucrées, s’il lance un nombre premier, il mange des céréales sans sucre. Si Bob lance un 1, il relance. Lors d’une année non bissextile, à combien de reprises Bob va-t-il lancer son dé ? ",\frac{5}{8},\frac{1825}{4},\frac{5}{4},438.0,D
marketing_0009,marketing,Other,9,La fourniture d’échantillons gratuits de parfums (fragrance) dans les magasines est un exemple pour laquelle des propositions suivantes ?,Conditionnement classique.,Conditionnement opérant,Apprentissage social.,Apprentissage comportemental.,A
marketing_0015,marketing,Other,15,Une approche marketing par courrier électronique dans laquelle le destinataire des messages a accepté de les recevoir est appelée :,Marketing de recherche.,Publicité sur Internet.,Marketing par e-mail fondé sur une autorisation,Marketing sur les réseaux sociaux.,C
marketing_0055,marketing,Other,55,____________ est très efficace pour la distribution de messages aux audiences cibles car cela permet de donner des explications d’une manière impossible à réaliser avec les plupart des autres médias.,Le numérique.,L’impression.,La diffusion.,En extérieur.,B
marketing_0069,marketing,Other,69,Laquelle des déclarations suivantes est correcte ?,Le marketing est le terme employé pour désigner uniquement la fonction de vente au sein d’une entreprise.,Les responsables marketing n’interviennent pas toujours dans les décisions de production et de distribution.,Le marketing est une activité qui tient uniquement compte des besoins de l’organisation et pas de ceux de la société dans son ensemble.,"Le marketing est l’activité, ensemble d’institutions et de processus, destinée à la création, la communication, la distribution et l’échange d’offres qui ont de la valeur pour les consommateurs, les clients, les partenaires et la société au sens large.",D
marketing_0093,marketing,Other,93,"Frais payés par des publicitaires à des entreprises en ligne qui désignent des clients potentiels qualifiés ou fournissent des informations sur les consommateurs, lorsque ceux-ci ont donné leur accord pour être contactés par un spécialiste du marketing. Il s’agit là de :",Génération de pistes.,Recherche.,Média enrichi.,Marketing par médias sociaux.,A
marketing_0109,marketing,Other,109,"Un cadre classe par catégories différents services, ce qui influence alors le degré selon lequel les offres de marché peuvent être évaluées, puis trois propriétés principales sont décelées :","Propriétés de recherche, d’expérience et de confiance.","Propriétés de recherche, d’expérience et de confiance.","Propriétés de vente, de trust et de confiance.","Propriétés de recherche, de croyance et de confiance.",B
marketing_0127,marketing,Other,127,"Magasins conçus pour éliminer la concurrence et caractérisés par un assortiment de produits restreint mais très approfondi, des prix bas et des services clients faibles à modérés :",Magasins spécialisés.,Distributeurs spécialisés.,Détaillants «Category-killer ».,Grandes surfaces.,C
marketing_0180,marketing,Other,180,"Une forme de communications marketing faisant appel à l’Internet pour la publicité, visant à accroître le trafic de sites Internet et/ou à encourager l’essai de produits, l’achat et la répétition de l’activité d’achat, qui est appelée :",Marketing de recherche.,Marketing par e-mail.,Publicité sur Internet.,Marketing sur les réseaux sociaux.,C
marketing_0196,marketing,Other,196,Cette approche des prix interentreprises cherche à comprendre les besoins des clients avant de définir les prix de l’offre en fonction de ces besoins afin d’instaurer une relation à long terme. Cette approche s’appelle :,Prix géographiques,Prix réduits.,Prix relationnel,Prix par valeur d’usage,C
marketing_0206,marketing,Other,206,"________________ rendent compte du niveau élevé d’implication d’un acheteur dans la décision d’achat. Ces décisions sont perçues avec un niveau de risque élevé, les consommateurs passent donc du temps à rechercher, formuler et prendre une décision finale.",Marchandises durables.,Marchandises non durables.,Produits de commodité.,Les services,A
marketing_0213,marketing,Other,213,"Une fois qu’un train quitte une gare, ou qu’un avion décolle ou qu’un film commence, des sièges restent vides et ne pourront jamais être vendus. Cela s’appelle :",Inséparabilité.,Variabilité.,Intangibilité.,Périssabilité.,D
marketing_0224,marketing,Other,224,___________ est fondée sur l’idée que les attentes des clients à l’égard des services dont ils bénéficient façonnent leur perception de la rencontre réelle du service.,La qualité de service,L’action de service,La reprise de service,La satisfaction des services,A
marketing_0227,marketing,Other,227,"Parmi les propositions suivantes, laquelle ne fait pas partie de l’environnement de commercialisation externe ?",politique,Juridique,Produit.,Socio-culturelle,C
nutrition_0005,nutrition,Other,5,Lequel des éléments suivants contribue à la carence en vitamine B12 chez les personnes âgées ?,Diminution de la sécrétion du facteur intrinsèque,Gastrite atrophique,Infection à Helicobacter pylori,Tout ce qui précède,D
nutrition_0009,nutrition,Other,9,Laquelle des affirmations suivantes concernant les besoins en acides aminés de l’alimentation humaine est correcte ?,Les besoins en acides aminés déterminés pour les adultes sont censés être les mêmes pour tous les âges.,Les besoins en acides aminés déterminés pour les adultes sont censés correspondre aux besoins d’entretien pour tous les âges.,Le profil d’acides aminés du lait maternel est censé correspondre aux besoins de tous les enfants.,Le profil d’acides aminés des protéines des tissus humains est censé correspondre aux besoins des nourrissons et des jeunes enfants.,B
nutrition_0033,nutrition,Other,33,Il a été observé que la réduction de la taille des familles et l’amélioration des conditions sanitaires ont entraîné une augmentation des affections allergiques. L’« hypothèse hygiénique » suggère que,L’utilisation fréquente de lingettes antiseptiques permet de réduire les allergies,Vivre dans une ferme en activité permet de réduire le développement de maladies atopiques,Une attention particulière doit être portée à l’allaitement chez les nourrissons à haut risque,Vivre dans une ferme en activité favorise le développement des maladies atopiques,B
nutrition_0060,nutrition,Other,60,"Les nourrissons et les enfants chez qui l’on soupçonne une allergie alimentaire, p. ex. une allergie/intolérance au lait de vache, peuvent présenter les symptômes et les signes suivants :",dermatite atopique sévère,entérocolite,diarrhée,Toutes les options ci-dessus,D
nutrition_0101,nutrition,Other,101,Sous quelle forme le sélénium se trouve-t-il dans les 25 sélénoprotéines humaines ?,Sélénophosphate,Sélénocystéine,Sélénohistidine,Sélénate,B
nutrition_0111,nutrition,Other,111,Le microbiome colique :,Est présent chez les bébés in utero,Est une cause d’œsophagite éosinophilique,Est facilement modifié par une supplémentation en probiotiques,Peut être modifié par la consommation d’oligosaccharides,D
nutrition_0119,nutrition,Other,119,Les nutriments peuvent présenter des risques pour la santé :,Lorsque les apports dépassent les limites supérieures établies,À tout niveau supérieur à l’apport nutritionnel recommandé,Uniquement lorsque les apports sont inférieurs à ceux nécessaires pour obtenir des bénéfices nutritionnels,En l’absence de conditions connues de prise habituelle,A
nutrition_0154,nutrition,Other,154,T.R. Malthus avait-il raison de conclure que la croissance de la population dépasserait celle de la production alimentaire ?,"Non, les innovations technologiques et institutionnelles ont permis à l’approvisionnement alimentaire de faire plus que suivre le rythme de la croissance démographique.","Oui, ce n’est que grâce à des famines généralisées que la population n’a pas totalement submergé les réserves alimentaires.","Non, mais ce n’est que grâce à l’introduction d’aliments génétiquement modifiés que l’offre a pu suivre le rythme de la croissance démographique.","Non, mais il est peu probable que l’offre suive le rythme de la croissance démographique au cours des 10 prochaines années.",A
nutrition_0157,nutrition,Other,157,L’alcool est un facteur de risque majeur pour le développement du cancer. Quel métabolite de l’alcool joue un rôle important dans le développement du cancer ?,esters éthyliques d’acides gras (FAEE),acétate,acétaldéhyde,alcool,C
nutrition_0167,nutrition,Other,167,Laquelle des méthodes suivantes préconise-t-on pour dépister la malnutrition lors d’une admission à l’hôpital ?,Un journal alimentaire de 7 jours,L’outil MUST,La concentration d’albumine sérique,La demi-portée,B
nutrition_0182,nutrition,Other,182,"Sur une base quotidienne moyenne, l’apport énergétique brut d’une femme en bonne santé est de 9279 kJ, le contenu énergétique de ses fèces et de son urine étant respectivement de 647 kJ et 318 kJ. Son apport énergétique digestible et son apport énergétique métabolisable moyens quotidiens seraient respectivement de :",647 kJ et 318 kJ,9279-318 kJ et 9279-647 kJ,9 279+318 kJ et 9 279+647 kJ,9 279-647 kJ et 9 279-(647+318) kJ,D
nutrition_0203,nutrition,Other,203,Quelle est la composition corporelle typique d’un jeune homme adulte de poids normal ?,"Graisse = 17%, masse libre de graisse = 83%, liquide intracellulaire = 40%, liquide extracellulaire = 20%","Graisse = 83%, masse libre de graisse = 40%, liquide intracellulaire = 17%, liquide extracellulaire = 20%","Graisse = 20 %, masse grasse libre = 17 %, liquide intracellulaire = 40 %, liquide extracellulaire = 83 %","Graisse = 40 %, masse grasse libre = 20 %, liquide intracellulaire = 17 %, liquide extracellulaire = 83 %",A
philosophy_0009,philosophy,Humanities,9,"Selon Kant, le sens moral requiert de notre part que :",nous faisions ce qui conduit au plus grand bonheur de tous.,nous n’agissions que selon des maximes dont nous pouvons souhaiter qu’elles deviennent des lois universelles.,nous nous comportions uniquement de la façon dont une personne vertueuse se comporterait.,nous mettions l’intérêt des autres avant nos intérêts personnels.,B
philosophy_0025,philosophy,Humanities,25,Hume divise nos perceptions en deux catégories :,les sensations et les émotions.,les impressions et les idées,statiques et dynamiques,simples et complexes,B
philosophy_0046,philosophy,Humanities,46,"Concernant la relation entre le sens moral et la théologie, Bentham déclare que :",nous devons d’abord savoir si quelque chose est juste avant que nous ne puissions savoir si cette chose est conforme à la volonté divine.,nous devons d’abord savoir si quelque chose est conforme à la volonté divine avant que nous ne puissions savoir si cette chose est juste.,"Dieu existe, mais ne s’occupe pas des questions de moralité.",Dieu n’existe pas.,A
philosophy_0057,philosophy,Humanities,57,« Est-ce qu’il y a quoi que soit pour quoi vous seriez prêt à mourir ? » est une question philosophique dans la mesure où :,elle n’a pas de réponse juste ou fausse parce qu’elle n’a aucun sens.,c’est une question sans aucun sens parce que tout le monde pourrait y répondre différemment.,elle nous force à exprimer et justifier nos convictions sur ce que nous savons et ce que nous devrions faire.,elle concerne davantage nos convictions religieuses que des énoncés de fait portant sur le monde. ,C
philosophy_0060,philosophy,Humanities,60,"Selon la théorie de Baier, la deuxième étape pour évaluer si une action est moralement permissible consiste à découvrir :",si elle est interdite par une règle morale d’un groupe.,si la règle morale l’interdisant est une véritable règle morale.,si elle est interdite par une loi.,s’il est possible de l’approuver.,B
philosophy_0063,philosophy,Humanities,63,"Wolf déclare que, en fin de compte, les questions normative doivent être évaluées :",du point de vue moral.,du point de vue de la vertu.,du point de vue de la perfection personnelle.,d’un point de vue libre de tout attachement à un engagement à un système bien ordonné de valeurs.,D
philosophy_0075,philosophy,Humanities,75,Une caractéristique formelle importante de l’art est _____.,sa signification sociale,une représentation fidèle,son pouvoir d’évoquer de fortes émotions,la cohérence,D
philosophy_0092,philosophy,Humanities,92,Baier affirme que le scepticisme éthique est souvent le fruit de :,théories métaphysiques confuses.,théories épistémologiques confuses.,opinions religieuses confuses.,théories scientifiques confuses.,B
philosophy_0163,philosophy,Humanities,163,Nussbaum déclare que la spécification de vertus particulières :,consistera toujours en une seule réponse.,pourrait parfois se révéler être une disjonction.,est nécessairement relative à une culture.,peut être établie de telle façon qu’elle ne soit plus susceptible de révision.,B
philosophy_0184,philosophy,Humanities,184,Quelle était l’attitude de Schopenhauer à l’égard de la vie ?,Il pensait que la vie était incertaine mais valait la peine d’être vécue.,"Il pensait que la vie était dure mais, en fin de compte, pleine d’espérance.",Il pensait que la vie était dénuée de sens.,Il croyait en une vie après la vie dans laquelle toute la misère devait disparaître.,C
philosophy_0244,philosophy,Humanities,244,"Selon Rawls, les deux parties de sa théorie :",sont interdépendantes : on ne peut pas accepter une partie sans accepter l’autre.,sont indépendantes : on peut accepter une partie sans accepter l’autre.,sont démontrables sur la base de prémisses évidentes.,ne peuvent pas être justifiées par des moyens rationnels.,B
philosophy_0290,philosophy,Humanities,290,Quelles sont certaines des fréquentes frustrations que l’on rencontre lorsqu’on écrit ou lit en matière d’éthique de la recherche ?,Les auteurs diffèrent sur ce qui est éthiquement acceptable.,Les mêmes débats reviennent d’une décennie à l’autre.,Les cas de violation éthique tendent à être associés à certaines méthodes de recherche.,Tout ce qui précède.,D
sociology_0015,sociology,Social Sciences,15,"Lorsque les sociologues étudient la structure des couches de la société et les mouvements des personnes d’une couche à l’autre, ils appellent cela :",la stratification sociale,le contrôle social,le conflit social,la solidarité sociale,A
sociology_0030,sociology,Social Sciences,30,L’étude de Sullivan (2000) suggérait que la proportion de tâches ménagères effectuées par les hommes était la plus élevée lorsque :,ils s’étaient redécouverts en tant « qu’hommes nouveaux »,leurs femmes étaient à la maison et les harcelaient constamment,des gadgets géniaux comme l’aspirateur et le fer à repasser électrique ont été inventés,ils étaient au chômage ou les deux partenaires travaillaient à temps plein,D
sociology_0045,sociology,Social Sciences,45,« L’homme nouveau » des années 80 était prétendu être :,"sensible, bienveillant et émotionnel","macho, agressif et violent",un soutien de famille solide et fiable,ouvertement bisexuel et fier de l’être,A
sociology_0066,sociology,Social Sciences,66,Murray pensait que la « classe inférieure » comprenait des personnes qui :,formaient une « race » inférieure avec de faibles niveaux d’intelligence,"vivaient des vies moralement condamnables, ponctuées par le crime et la misère",dépendaient trop fortement des prestations sociales,toutes les propositions ci-dessus,D
sociology_0069,sociology,Social Sciences,69,"Selon la théorie de l’apprentissage du rôle,",nous internalisons et assumons des rôles sociaux d’après un cadre pré-existant,nous créons et négocions nos rôles à travers les interactions avec les autres,les rôles sociaux ne sont pas fixes ou stables mais fluides et pluralistes,les rôles doivent être appris pour supprimer les motivations inconscientes,A
sociology_0095,sociology,Social Sciences,95,"Dans la réforme du National Health Service (Service national de santé) de 1990, les hôpitaux sont devenus :","des fiducies autonomes, en concurrence pour les contrats d’achat des autorités sanitaires","des prestataires contrôlés par l’état, dépendants du financement du gouvernement central",de plus en plus séparés des autorités sanitaires et des prestataires de santé privés ,"moins enclins à se diriger efficacement, car la demande en soins de santé était en déclin",A
sociology_0115,sociology,Social Sciences,115,L’expression « point de vue féministe » suggère :,une prise de position sur les questions négligées par le féminisme,l’étude de la société du point de vue des femmes,la reconnaissance de la différence et de la diversité dans la vie des femmes,une tendance à ignorer la nature genrée des connaissances,B
sociology_0128,sociology,Social Sciences,128,Smith et Tomlinson affirmaient que :,les différences de milieux ethniques étaient plus significatives que les différences de classe ou de genre dans la prédiction du succès scolaire,le racisme dans les écoles sapaient l’évolution vers l’égalité des chances pour les enfants des minorités ethniques,la personnalité scolaire dépassait largement le milieu ethnique dans la détermination du succès scolaire ,les différences de genre dans la réussite scolaire pouvaient être imputées aux inégalités de classe,C
sociology_0158,sociology,Social Sciences,158,"Parmi les groupes ou organisations suivants, lesquels peuvent être identifiés comme présentant les caractéristiques d’une bureaucratie ?","Une famille étendue ou consanguine, comprenant tous les proches par le sang, le mariage ou l’adoption",Le gouvernement d’une grande ville,"Un club de lecture dans lequel les livres sont sélectionnés par les membres, en respectant l’ordre alphabétique dans la conduite de la discussion",Le bénévoles qui se réunissent chaque année pour nettoyer le quartier,B
sociology_0165,sociology,Social Sciences,165,"Parmi les propositions suivantes, laquelle décrit le mieux la définition de la pauvreté, utilisée par le gouvernement des États-Unis ?",Il définit le seuil de pauvreté à un niveau déterminé dans les années 60 et ajusté depuis pour tenir compte de l’inflation.,"Il inclut la valeur des services publics, tels que Medicaid ou les logements sociaux dans la définition du seuil de pauvreté.","Il s’appuie sur le concept de privation relative, et le seuil de pauvreté évolue parallèlement à la répartition des revenues","Il s’appuie sur le concept de style de vie, et le seuil de pauvreté varie en fonction des besoins de la personne.",A
sociology_0171,sociology,Social Sciences,171,L’expression « nouveau racisme » désigne :,"une forme subtile de préjugés, masquée par une fierté nationaliste",une déconstruction post-moderne des idées racistes pour révéler leur manque de profondeur,"les pratiques racistes observées dans les zones nouvellement émergentes de la vie sociale, telles que le cyber-espace",un mouvement antifasciste qui remet en cause les politiques nationalistes,A
sociology_0175,sociology,Social Sciences,175,La production industrielle du dix-neuvième siècle se caractérisait par :,un nombre croissant de femmes occupant des postes à haut statut,des industries familiales et travailleurs à domicile travaillant à la pièce dans la sphère domestique,la « révolution managériale » par laquelle la propriété et le contrôle sont devenus distincts,l’équipement électrique et la concentration des ouvriers dans de vastes espaces de travail,D
sociology_0183,sociology,Social Sciences,183,"Parmi les propositions suivantes, laquelle correspond à un document personnel à l’accès fermé ?",le « livre blanc » d’un gouvernement,les dossiers médicaux confidentiels,le livre de comptes d’un ménage,le registre des actions d’une entreprise,C
world_religions_0051,world_religions,Humanities,51,Après quel événement la période rabbinique du judaïsme a-t-elle commencé ?,La construction du Second Temple,La destruction du Second Temple,La christianisation de l’Empire romain,L’émergence de l’Islam,B
world_religions_0055,world_religions,Humanities,55,Que désigne le terme « Arhats » ?,Un être éclairé,Des personnes de valeur,Des saints,Des sages,A
world_religions_0056,world_religions,Humanities,56,Quel Guru a été martyrisé lorsqu’il a refusé de se convertir à l’Islam ?,Le Guru Ram Das,Le Guru Tegh Bahadur,Le Guru Gobind Singh,Le Guru Har Rai,B
world_religions_0078,world_religions,Humanities,78,Comment traduit-on souvent le terme « bhakti » ?,Les dieux,Le yoga,La dévotion,Religion,C
world_religions_0101,world_religions,Humanities,101,Quelle branche du judaïsme fondée par Zacharias Frankel est connue pour son « judaïsme historique positif » ?,Le judaïsme conservateur,Le judaïsme réformé,Le judaïsme reconstructionniste,Le judaïsme orthodoxe,A
world_religions_0104,world_religions,Humanities,104,Quel terme est généralement associé aux femmes dans les traditions hindoues ?,Polluées,Idéales,De bon augure,Gentilles,C
world_religions_0108,world_religions,Humanities,108,Comment pourrait-on définir le charisme ?,Comme une huile,Comme une prophétie,Comme une grâce spirituelle,Comme de l’autorité,C
